audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03704] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03704] added dtor for sample_instance 011EDDD8, func 004F524B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03705] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03706] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03706] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03707] added dtor for sample_instance 011EDF10, func 004F524B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03708] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03708] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03709] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03709] added dtor for sample_instance 011EE000, func 004F524B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03710] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03710] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03711] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03712] added dtor for sample_instance 011EE0F0, func 004F524B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03712] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03713] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03714] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03714] added dtor for sample_instance 011EE1E0, func 004F524B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03715] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03716] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03716] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03717] added dtor for sample_instance 011EE2D0, func 004F524B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03718] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03718] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03719] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03720] added dtor for sample_instance 0365C058, func 004F524B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03720] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03721] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03722] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03722] added dtor for sample_instance 0365C148, func 004F524B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03723] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03724] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03724] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03725] added dtor for queue 0365C238, func 00409763
system   D C:\LIBS5303Build\allegro5\src\win\wsystem.c:771  _al_win_safe_load_library        [   0.03748] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D C:\LIBS5303Build\allegro5\src\win\wsystem.c:682  load_library_at_path             [   0.03749] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I C:\LIBS5303Build\allegro5\src\win\wsystem.c:685  load_library_at_path             [   0.05614] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I C:\LIBS5303Build\allegro5\src\win\d3d_disp.cpp:674  d3d_init_display                 [   0.06787] Render-to-texture: 1
d3d      I C:\LIBS5303Build\allegro5\src\win\d3d_disp.cpp:1769 d3d_create_display_locked        [   0.06841] faux_fullscreen=0
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_disp.cpp:1770 d3d_create_display_locked        [   0.06842] al_display=0365CCD0
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_disp.cpp:1771 d3d_create_display_locked        [   0.06843] al_display->vt=0365CC18
d3d      I C:\LIBS5303Build\allegro5\src\win\d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.06974] found 64 format combinations
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06975] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06976] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06977] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06978] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06979] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06979] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06980] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06980] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06981] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.06982] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.06982] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
